%	2026/06/08 - Black paint angles for Lazuli Space Observatory (v1.1);
%	Contact: Jacob P. Krell (LOFT group, jacobpkrell@arizona.edu);
%   Notes(s): includes 0/45 calibration measurements; 
%	Angles computed with C:\Users\jakep\Documents\Optics_local\UofA\bsdf-tools\processing\preprocessing\blacklab\angle_sets\black_lab_angles.m
%Radiometer	Yoke    	Tilt    	Rotation
45.0000000	70.0000000	0.0000000	180.0000000
50.0000000	70.0000000	0.0000000	180.0000000
55.0000000	70.0000000	0.0000000	180.0000000
60.0000000	70.0000000	0.0000000	180.0000000
65.0000000	70.0000000	0.0000000	180.0000000
70.0000000	70.0000000	0.0000000	180.0000000
75.0000000	70.0000000	0.0000000	180.0000000
80.0000000	70.0000000	0.0000000	180.0000000
85.0000000	70.0000000	0.0000000	180.0000000
90.0000000	70.0000000	0.0000000	180.0000000
95.0000000	70.0000000	0.0000000	180.0000000
100.0000000	70.0000000	0.0000000	180.0000000
105.0000000	70.0000000	0.0000000	180.0000000
110.0000000	70.0000000	0.0000000	180.0000000
115.0000000	70.0000000	0.0000000	180.0000000
120.0000000	70.0000000	0.0000000	180.0000000
125.0000000	70.0000000	0.0000000	180.0000000
130.0000000	70.0000000	0.0000000	180.0000000
135.0000000	70.0000000	0.0000000	180.0000000
140.0000000	70.0000000	0.0000000	180.0000000
145.0000000	70.0000000	0.0000000	180.0000000
150.0000000	70.0000000	0.0000000	180.0000000
155.0000000	70.0000000	0.0000000	180.0000000
45.0000000	0.0000000	0.0000000	180.0000000
